customerid,churn,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,charges_monthly,charges_total,charges_daily
2348-kcjlt,No,female,0,1,0,44,1,0,dsl,1,1,1,0,0,0,one year,1,mailed check,61.5,2722.2,2.05
2351-bkrzw,No,female,0,1,1,43,1,0,dsl,1,0,1,0,1,1,two year,0,bank transfer automatic,75.2,3254.35,2.51
2351-rrbue,No,female,0,1,1,7,1,0,no,0,0,0,0,0,0,one year,0,mailed check,20.65,134.05,0.69
2353-vpyns,No,male,1,0,0,1,1,1,fiber optic,0,0,0,0,0,0,month-to-month,1,electronic check,73.65,73.65,2.46
2357-coqek,Sí,female,1,0,0,28,1,1,fiber optic,0,0,1,1,1,1,month-to-month,1,electronic check,103.3,2890.65,3.44
2359-kltek,No,female,0,1,1,41,1,0,fiber optic,0,0,1,0,1,1,month-to-month,1,bank transfer automatic,94.9,3848.0,3.16
2359-kmgli,Sí,male,0,0,0,24,1,1,fiber optic,0,1,0,0,0,0,month-to-month,1,electronic check,80.25,1861.5,2.68
2359-qwqul,Sí,female,0,1,0,39,1,0,fiber optic,1,0,1,1,1,1,one year,1,credit card automatic,104.7,4134.85,3.49
2360-rdgro,No,male,0,1,0,65,1,1,fiber optic,1,0,1,0,1,1,month-to-month,1,electronic check,104.25,6812.95,3.48
2361-fjwno,No,male,0,0,0,40,0,0,dsl,0,1,0,1,0,0,one year,0,credit card automatic,36.0,1382.9,1.2
2361-upsnd,No,female,0,1,0,46,1,0,dsl,1,1,0,1,0,1,one year,0,mailed check,70.6,3231.05,2.35
2362-ibooy,Sí,male,0,0,0,36,1,1,fiber optic,0,0,0,0,0,1,month-to-month,1,electronic check,84.75,3050.15,2.82
2363-bjlsl,No,male,0,0,0,62,1,0,dsl,0,1,1,1,1,1,month-to-month,1,bank transfer automatic,80.4,4981.15,2.68
2364-ufrom,No,male,0,0,0,30,1,0,dsl,1,1,0,1,1,0,one year,0,electronic check,70.4,2044.75,2.35
2368-gakkq,No,female,0,0,0,70,1,1,fiber optic,1,1,1,1,1,1,two year,1,bank transfer automatic,113.65,7939.25,3.79
2369-fevno,No,male,0,0,0,1,1,0,no,0,0,0,0,0,0,month-to-month,1,mailed check,19.9,19.9,0.66
2369-uapkz,Sí,male,0,0,0,5,1,1,fiber optic,0,1,1,0,1,1,month-to-month,0,mailed check,104.1,541.9,3.47
2371-jqhzz,No,male,0,1,0,24,1,1,fiber optic,0,0,0,0,1,1,month-to-month,1,electronic check,93.0,2248.05,3.1
2371-jungc,No,male,0,0,0,11,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,20.25,208.0,0.68
2371-kfuog,No,male,0,0,0,58,1,0,fiber optic,1,1,0,0,1,1,one year,0,bank transfer automatic,99.15,5720.95,3.3
2372-hwuhi,Sí,male,0,0,0,2,1,0,dsl,0,0,0,0,0,0,month-to-month,0,electronic check,44.35,81.25,1.48
2373-ntkod,No,male,0,0,0,8,1,0,dsl,0,0,0,0,1,1,month-to-month,1,electronic check,66.25,546.45,2.21
2378-htwfw,No,male,1,0,0,35,1,1,fiber optic,1,0,0,0,0,1,month-to-month,0,credit card automatic,91.0,3180.5,3.03
2378-vtkdh,No,male,1,1,0,65,1,1,fiber optic,0,1,1,0,1,1,month-to-month,1,electronic check,104.35,6578.55,3.48
2378-yizka,No,female,0,1,1,68,1,0,dsl,1,1,1,1,1,1,two year,1,credit card automatic,85.0,5607.75,2.83
2379-enzgv,Sí,male,0,0,0,6,1,0,fiber optic,0,1,0,0,1,0,month-to-month,1,electronic check,84.85,523.5,2.83
2379-gyflq,No,male,0,0,0,46,1,1,fiber optic,0,1,1,0,1,0,one year,1,credit card automatic,94.9,4422.95,3.16
2380-damqp,No,female,0,1,0,72,1,1,fiber optic,1,1,1,1,1,1,two year,0,electronic check,115.15,8349.7,3.84
2382-bckqj,Sí,female,0,0,1,62,1,1,fiber optic,0,0,1,0,1,1,one year,1,electronic check,100.15,6413.65,3.34
2384-ovpsa,No,female,1,0,0,38,1,0,no,0,0,0,0,0,0,two year,0,mailed check,20.2,735.9,0.67
2386-lahrk,Sí,male,0,0,0,1,1,0,dsl,0,0,0,0,1,0,month-to-month,1,mailed check,53.5,53.5,1.78
2386-owury,No,female,0,0,0,58,1,0,fiber optic,0,0,0,1,1,1,month-to-month,1,electronic check,95.3,5817.7,3.18
2387-kdzqy,No,male,0,0,0,17,1,0,no,0,0,0,0,0,0,one year,1,mailed check,20.1,279.5,0.67
2388-laesq,No,female,1,1,0,72,1,1,fiber optic,1,1,1,1,1,1,two year,1,bank transfer automatic,114.85,8317.95,3.83
2391-iplop,No,male,0,1,1,50,1,1,dsl,0,0,1,1,1,0,one year,1,electronic check,69.65,3442.15,2.32
2391-soori,Sí,male,0,0,1,4,1,0,dsl,1,0,0,0,0,0,month-to-month,0,electronic check,49.35,219.65,1.64
2393-divai,No,female,0,0,0,3,1,0,no,0,0,0,0,0,0,month-to-month,1,mailed check,20.0,61.7,0.67
2397-brlom,Sí,male,1,1,1,8,1,0,fiber optic,0,0,0,0,1,0,month-to-month,1,credit card automatic,80.45,583.45,2.68
2398-ypmur,Sí,female,1,1,0,13,1,0,fiber optic,0,0,0,0,0,0,month-to-month,1,electronic check,70.15,916.75,2.34
2400-feqme,No,male,0,1,1,55,1,0,no,0,0,0,0,0,0,two year,0,mailed check,20.5,1177.95,0.68
2400-xiwio,No,female,0,1,0,71,1,1,dsl,1,1,1,1,1,1,two year,0,electronic check,90.1,6310.9,3.0
2402-tairz,No,female,0,0,0,37,1,0,fiber optic,0,1,1,0,0,0,one year,0,electronic check,80.05,3019.1,2.67
2403-bcasl,Sí,male,1,1,1,41,1,1,fiber optic,0,1,1,1,1,1,one year,1,electronic check,111.95,4534.9,3.73
2404-jibfc,No,female,0,1,1,55,1,1,dsl,1,0,1,1,1,1,two year,1,bank transfer automatic,85.1,4657.95,2.84
2405-lbmuw,No,female,0,1,1,61,0,0,dsl,1,1,0,1,0,1,one year,1,bank transfer automatic,50.7,3088.75,1.69
2408-psjve,No,male,0,1,1,44,1,0,dsl,0,1,1,1,0,0,month-to-month,1,mailed check,61.9,2924.05,2.06
2408-tzmjl,Sí,male,0,1,0,59,1,1,fiber optic,1,1,1,0,1,1,one year,1,electronic check,110.15,6448.05,3.67
2408-witxk,Sí,female,1,0,0,10,0,0,dsl,0,0,0,0,0,1,month-to-month,1,electronic check,34.7,329.8,1.16
2410-ciyfz,No,male,0,0,1,2,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,20.4,42.9,0.68
2418-tpeun,No,female,0,1,1,56,1,0,no,0,0,0,0,0,0,two year,1,credit card automatic,19.8,1119.9,0.66
2419-fsors,No,male,0,1,0,72,1,1,fiber optic,0,1,1,1,1,1,two year,1,electronic check,108.4,7719.5,3.61
2424-gxjqo,No,female,0,0,0,3,1,0,dsl,0,0,1,0,1,0,month-to-month,0,electronic check,57.55,161.45,1.92
2424-wvhpl,No,male,1,0,0,1,1,0,fiber optic,0,0,0,1,0,0,month-to-month,0,electronic check,74.7,74.7,2.49
2428-hyunx,No,male,1,1,0,44,1,0,no,0,0,0,0,0,0,two year,1,credit card automatic,19.35,847.25,0.64
2428-zmctb,No,male,0,0,0,10,1,0,no,0,0,0,0,0,0,month-to-month,0,credit card automatic,19.75,208.25,0.66
2429-aykko,No,male,0,0,0,72,1,0,no,0,0,0,0,0,0,two year,0,bank transfer automatic,19.85,1434.1,0.66
2430-rryuw,No,male,0,0,0,66,1,0,dsl,1,1,0,0,0,0,one year,1,mailed check,54.8,3465.7,1.83
2430-usgxp,Sí,male,0,1,0,24,1,1,fiber optic,0,0,1,0,1,1,month-to-month,1,electronic check,101.05,2391.8,3.37
2432-tfsmk,No,male,0,0,0,18,1,1,fiber optic,0,0,1,0,1,0,one year,1,credit card automatic,89.6,1633.0,2.99
2433-kmeas,Sí,male,0,0,0,22,1,1,dsl,1,0,0,0,0,0,month-to-month,1,electronic check,54.45,1127.35,1.82
2434-eevdb,No,female,0,1,0,64,1,1,fiber optic,1,0,1,0,1,0,two year,1,credit card automatic,94.6,5948.7,3.15
2436-qbzfp,No,female,0,1,1,22,0,0,dsl,0,1,0,0,1,0,month-to-month,0,electronic check,39.2,849.9,1.31
2439-lypmq,No,male,1,1,0,38,1,1,fiber optic,0,1,1,0,1,1,month-to-month,1,electronic check,102.6,4009.2,3.42
2439-qkjul,No,male,0,0,0,5,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,20.25,109.8,0.68
2446-beggb,Sí,female,1,0,0,6,1,1,fiber optic,0,1,0,0,1,1,month-to-month,1,electronic check,98.25,560.6,3.28
2446-plqvo,Sí,male,0,0,0,1,1,0,fiber optic,0,0,0,0,0,0,month-to-month,1,electronic check,70.3,70.3,2.34
2446-zkvaf,No,male,0,1,0,18,1,1,dsl,0,1,0,0,0,0,month-to-month,0,credit card automatic,56.8,1074.65,1.89
2450-zkeed,No,female,0,0,0,11,1,0,dsl,0,0,1,1,0,0,one year,0,bank transfer automatic,53.8,651.55,1.79
2451-ymuxs,No,male,1,0,0,67,1,1,dsl,1,1,0,1,0,0,two year,1,bank transfer automatic,64.55,4250.1,2.15
2452-kdrrh,No,male,1,0,0,67,1,1,fiber optic,0,0,1,0,1,1,month-to-month,1,credit card automatic,101.4,6841.05,3.38
2452-mrmzf,No,female,1,1,0,72,1,1,no,0,0,0,0,0,0,two year,1,credit card automatic,25.7,1937.4,0.86
2452-snhfz,No,female,0,0,0,47,1,0,fiber optic,1,0,0,0,0,0,month-to-month,0,credit card automatic,75.45,3545.1,2.52
2453-safns,No,female,1,0,0,54,1,1,dsl,0,1,0,1,1,0,one year,0,mailed check,72.1,3886.05,2.4
2454-rpbrz,Sí,female,1,1,0,12,1,1,fiber optic,0,1,1,0,1,0,month-to-month,1,electronic check,98.1,1060.2,3.27
2455-uslmv,No,female,0,0,0,31,1,1,fiber optic,1,0,1,0,0,0,month-to-month,1,credit card automatic,84.75,2613.4,2.82
2458-eomre,No,female,0,0,0,11,1,0,dsl,1,0,1,0,0,1,month-to-month,0,bank transfer automatic,64.05,733.95,2.13
2460-fpsyh,Sí,female,1,0,0,40,0,0,dsl,1,1,0,0,1,1,month-to-month,1,electronic check,55.8,2109.35,1.86
2460-ngxbj,No,male,1,1,1,11,1,1,fiber optic,0,0,0,0,0,0,month-to-month,1,credit card automatic,75.2,775.3,2.51
2462-xiijb,Sí,male,0,0,0,5,1,1,fiber optic,0,0,1,0,1,0,month-to-month,1,electronic check,92.5,452.7,3.08
2465-blleu,No,male,0,0,0,1,1,0,no,0,0,0,0,0,0,month-to-month,1,mailed check,19.75,19.75,0.66
2466-fccpt,No,female,0,1,1,20,1,0,no,0,0,0,0,0,0,one year,0,bank transfer automatic,19.7,395.6,0.66
2466-nejoj,No,male,0,1,1,8,1,0,no,0,0,0,0,0,0,month-to-month,0,credit card automatic,19.65,169.75,0.65
2468-sjflm,No,male,0,0,0,1,1,0,fiber optic,0,0,0,1,0,0,month-to-month,1,mailed check,74.3,74.3,2.48
2469-dtsgx,No,female,1,0,0,72,1,1,fiber optic,0,1,1,1,1,1,two year,0,electronic check,111.65,7943.45,3.72
2472-ovkup,Sí,male,0,1,0,6,1,0,fiber optic,0,1,1,0,0,1,month-to-month,1,electronic check,91.0,531.0,3.03
2474-brucm,Sí,male,1,1,0,40,1,1,fiber optic,1,0,0,0,1,1,month-to-month,0,electronic check,101.85,4086.3,3.4
2474-lcnue,No,female,0,1,0,23,1,1,dsl,0,0,0,1,1,1,month-to-month,1,credit card automatic,73.65,1642.75,2.46
2475-mrozf,No,male,0,0,0,30,1,1,fiber optic,1,1,1,1,0,0,month-to-month,1,credit card automatic,95.0,2852.4,3.17
2476-ygefm,No,female,0,0,0,29,1,1,fiber optic,0,0,0,0,0,0,month-to-month,1,credit card automatic,76.0,2215.25,2.53
2478-eewwm,No,male,0,1,0,59,0,0,dsl,0,0,0,0,1,1,month-to-month,1,electronic check,44.3,2666.75,1.48
2479-bramr,Sí,male,1,1,0,41,1,1,fiber optic,1,0,1,0,0,0,month-to-month,1,bank transfer automatic,83.75,3273.55,2.79
2480-ejwyp,No,female,1,1,0,58,1,1,fiber optic,0,1,0,0,1,1,one year,1,bank transfer automatic,97.8,5458.8,3.26
2480-jzosn,No,female,0,1,0,1,1,0,no,0,0,0,0,0,0,month-to-month,1,mailed check,20.65,20.65,0.69
2480-sqiob,No,male,0,1,1,4,1,0,dsl,0,0,0,0,0,0,month-to-month,0,electronic check,44.8,169.65,1.49
2481-sboyw,No,female,0,0,1,61,1,1,no,0,0,0,0,0,0,two year,1,credit card automatic,25.0,1498.35,0.83
2482-czgbb,Sí,male,0,0,0,10,1,0,fiber optic,0,0,0,0,0,0,month-to-month,1,electronic check,70.0,740.0,2.33
2483-xssmz,No,female,0,0,0,39,1,0,dsl,1,0,0,0,0,0,one year,1,electronic check,47.85,1886.4,1.6
2484-dgxpz,Sí,female,0,1,1,31,1,0,no,0,0,0,0,0,0,month-to-month,1,mailed check,19.55,658.95,0.65
2485-itvkb,Sí,female,0,1,0,2,0,0,dsl,0,0,0,0,0,1,month-to-month,1,electronic check,35.1,68.75,1.17
2486-wyvve,No,male,0,1,0,31,1,1,dsl,0,0,1,1,1,1,one year,1,mailed check,79.3,2484.0,2.64
2495-inzwq,Sí,male,0,0,0,4,0,0,dsl,0,0,0,0,1,1,month-to-month,1,electronic check,44.55,174.3,1.48
2495-kznfb,No,female,0,0,0,33,1,1,fiber optic,1,0,0,0,0,1,month-to-month,1,electronic check,90.65,2989.6,3.02
2495-tthbq,No,female,0,0,1,4,1,0,no,0,0,0,0,0,0,one year,1,mailed check,20.4,84.75,0.68
2498-xldzr,No,female,0,1,1,32,1,0,dsl,1,1,1,1,0,1,two year,0,mailed check,73.6,2316.85,2.45
2499-ajyua,No,female,1,1,0,72,1,1,fiber optic,0,1,1,1,1,1,two year,1,credit card automatic,110.8,7882.25,3.69
2501-xwwtz,No,male,0,0,0,11,1,0,fiber optic,0,0,0,0,0,0,month-to-month,0,electronic check,70.2,760.05,2.34
2504-dshih,No,male,1,1,0,23,1,1,fiber optic,0,0,0,0,0,1,month-to-month,0,electronic check,86.8,1975.85,2.89
2506-clakw,Sí,female,0,0,0,6,1,0,fiber optic,1,1,1,1,0,1,month-to-month,1,bank transfer automatic,98.15,567.45,3.27
2506-tnfco,Sí,female,1,1,0,1,1,0,fiber optic,0,0,0,0,0,0,month-to-month,1,electronic check,69.55,69.55,2.32
2507-qzpqs,No,male,0,0,0,15,1,1,fiber optic,0,1,0,1,0,1,month-to-month,0,electronic check,95.7,1451.1,3.19
2508-qjjfp,No,male,0,0,1,47,1,0,no,0,0,0,0,0,0,one year,0,credit card automatic,20.55,1013.05,0.68
2509-tfpju,No,male,0,1,0,72,1,1,no,0,0,0,0,0,0,two year,0,credit card automatic,25.75,1864.2,0.86
2511-allcs,No,female,0,1,1,35,1,1,no,0,0,0,0,0,0,two year,0,bank transfer automatic,24.3,821.6,0.81
2511-morqy,No,male,0,1,1,50,1,1,dsl,0,0,1,0,0,0,one year,0,bank transfer automatic,54.9,2614.1,1.83
2514-ginmm,Sí,male,0,0,0,1,1,0,fiber optic,0,0,0,0,1,0,month-to-month,1,electronic check,79.5,79.5,2.65
2516-vqrrv,Sí,female,1,0,0,2,1,1,fiber optic,0,0,0,0,0,0,month-to-month,1,mailed check,75.45,158.4,2.52
2516-xsjkx,No,female,0,1,1,41,1,0,dsl,1,1,0,1,1,1,two year,0,electronic check,78.45,3126.45,2.62
2519-erqoj,No,male,1,0,0,33,0,0,dsl,0,0,1,1,1,1,month-to-month,1,electronic check,54.6,1803.7,1.82
2519-fakod,Sí,male,0,0,1,38,1,1,fiber optic,0,0,1,0,1,1,month-to-month,1,bank transfer automatic,99.25,3777.15,3.31
2519-lbnql,No,male,1,1,0,60,1,1,fiber optic,0,1,1,0,1,1,one year,1,electronic check,104.35,6339.45,3.48
2519-twkfs,No,male,0,1,1,25,1,1,dsl,0,0,0,1,0,0,one year,1,mailed check,55.1,1466.1,1.84
2520-sgtta,No,female,0,1,1,0,1,0,no,0,0,0,0,0,0,two year,0,mailed check,20.0,240.0,0.67
2521-npuzr,No,male,0,1,0,70,1,0,fiber optic,1,1,1,1,0,1,two year,0,credit card automatic,101.0,7085.5,3.37
2522-ahjxr,No,male,0,1,0,60,1,1,fiber optic,1,0,1,1,1,1,month-to-month,1,bank transfer automatic,109.45,6572.85,3.65
2522-wlnsf,No,female,1,1,0,34,1,0,dsl,0,0,1,1,1,0,one year,0,bank transfer automatic,64.2,2106.3,2.14
2523-ewwzl,No,female,0,1,0,27,1,0,fiber optic,0,1,0,0,0,0,month-to-month,1,electronic check,76.1,2093.4,2.54
2525-gvkqu,No,female,0,0,0,60,1,0,no,0,0,0,0,0,0,two year,0,mailed check,20.6,1093.0,0.69
2528-hfyzx,Sí,male,1,1,0,17,1,0,fiber optic,0,1,0,0,0,0,month-to-month,1,electronic check,76.45,1233.4,2.55
2530-endwq,Sí,female,0,1,0,71,1,1,fiber optic,0,0,0,0,1,1,two year,1,bank transfer automatic,93.7,6585.35,3.12
2530-fmfxo,No,male,0,1,1,56,1,1,fiber optic,0,0,1,1,1,1,two year,1,electronic check,103.2,5873.75,3.44
2533-qvmsk,Sí,male,0,1,0,61,1,1,fiber optic,0,1,0,1,1,0,two year,1,electronic check,94.1,5638.3,3.14
2533-tibix,No,male,0,1,1,15,0,0,dsl,1,0,0,0,0,0,month-to-month,1,bank transfer automatic,30.2,469.65,1.01
2535-pbcgc,No,female,0,1,0,70,0,0,dsl,1,1,1,1,1,1,two year,0,bank transfer automatic,64.55,4504.9,2.15
2538-oimxf,No,female,0,0,1,1,0,0,dsl,0,0,0,0,0,0,month-to-month,0,mailed check,24.7,24.7,0.82
2541-ygpke,No,male,0,1,1,42,1,0,dsl,1,0,0,1,0,1,one year,0,credit card automatic,63.7,2763.35,2.12
2542-hygiq,No,female,0,0,0,1,1,0,no,0,0,0,0,0,0,month-to-month,0,credit card automatic,19.95,19.95,0.66
2545-ebupk,No,female,1,0,0,2,1,1,fiber optic,0,0,0,0,0,1,month-to-month,1,electronic check,84.05,186.05,2.8
2545-lxyvj,No,male,0,1,0,72,1,0,no,0,0,0,0,0,0,two year,0,bank transfer automatic,20.7,1492.1,0.69
2546-kzaat,No,male,0,1,0,52,1,0,dsl,1,1,0,0,1,1,one year,1,mailed check,75.4,3865.45,2.51
2550-aevru,No,female,0,1,1,57,1,0,dsl,1,1,0,0,0,0,one year,0,electronic check,53.45,3053.0,1.78
2550-qhzgp,No,male,0,0,0,7,1,0,no,0,0,0,0,0,0,one year,0,mailed check,19.5,128.6,0.65
2550-zqzpp,No,male,1,1,0,7,1,1,fiber optic,0,0,0,0,0,0,month-to-month,1,electronic check,75.4,533.05,2.51
2558-buozz,No,male,0,0,0,47,1,1,fiber optic,1,1,0,0,1,0,one year,0,bank transfer automatic,94.8,4535.85,3.16
2560-ppche,No,female,0,0,0,65,1,1,fiber optic,0,1,0,1,1,1,one year,1,bank transfer automatic,105.05,6744.25,3.5
2560-qtsbs,No,female,0,1,1,72,1,1,no,0,0,0,0,0,0,one year,1,bank transfer automatic,23.3,1623.15,0.78
2560-wbwxf,No,male,0,0,0,68,1,1,no,0,0,0,0,0,0,two year,1,bank transfer automatic,24.15,1498.85,0.8
2565-jslry,Sí,male,0,0,0,1,1,1,no,0,0,0,0,0,0,month-to-month,1,mailed check,24.05,24.05,0.8
2568-brgyx,Sí,male,0,0,0,4,1,0,fiber optic,0,0,0,0,0,0,month-to-month,1,electronic check,70.2,237.95,2.34
2568-oiady,Sí,female,0,1,0,37,1,1,fiber optic,0,0,1,0,1,1,month-to-month,1,electronic check,99.5,3762.0,3.32
2569-wgero,No,female,0,0,0,72,1,0,no,0,0,0,0,0,0,two year,1,bank transfer automatic,21.15,1419.4,0.7
2573-gyruu,No,male,1,1,0,48,1,1,fiber optic,0,0,1,0,0,1,month-to-month,1,credit card automatic,91.05,4370.75,3.03
2575-eamdv,No,female,0,0,0,35,1,0,fiber optic,0,0,1,1,1,1,one year,1,electronic check,99.25,3532.0,3.31
2575-gfsoe,Sí,female,0,1,1,7,1,0,fiber optic,0,0,0,0,0,0,month-to-month,1,electronic check,69.0,506.9,2.3
2576-hxmpa,No,female,0,0,0,1,1,0,no,0,0,0,0,0,0,month-to-month,0,credit card automatic,19.55,19.55,0.65
2577-gvsil,No,male,0,1,1,35,1,1,dsl,0,0,0,1,1,1,one year,1,bank transfer automatic,73.45,2661.1,2.45
2578-jqphz,No,male,0,0,0,44,1,0,fiber optic,0,0,1,1,1,1,two year,0,bank transfer automatic,100.1,4378.35,3.34
2580-asvvy,No,female,0,1,0,37,0,0,dsl,1,0,0,1,1,0,two year,0,electronic check,45.4,1593.1,1.51
2580-atzsq,No,female,0,1,1,65,1,0,dsl,1,1,1,0,0,0,one year,0,bank transfer automatic,61.35,3874.1,2.04
2581-vkirt,No,female,0,1,1,59,1,1,dsl,1,1,0,1,0,0,one year,0,mailed check,65.5,3801.3,2.18
2582-fffzr,No,female,0,0,0,22,0,0,dsl,0,0,1,0,1,1,month-to-month,1,electronic check,50.6,1073.3,1.69
2585-ktfre,No,male,0,0,1,1,1,0,dsl,1,1,0,1,0,1,month-to-month,1,bank transfer automatic,70.45,70.45,2.35
2586-cwxvv,No,male,0,1,0,54,0,0,dsl,0,1,0,0,0,0,month-to-month,0,electronic check,30.4,1621.35,1.01
2587-ekxts,No,male,0,0,0,44,1,1,fiber optic,1,1,1,0,1,1,month-to-month,1,electronic check,111.5,4915.15,3.72
2587-ynles,No,female,0,1,1,6,1,0,no,0,0,0,0,0,0,two year,0,mailed check,20.1,100.35,0.67
2589-aycrp,No,female,0,0,0,50,1,0,no,0,0,0,0,0,0,one year,0,bank transfer automatic,19.75,989.05,0.66
2592-hodov,No,male,0,0,0,13,1,0,no,0,0,0,0,0,0,one year,0,credit card automatic,19.3,259.65,0.64
2592-seifq,Sí,male,0,0,0,3,0,0,dsl,0,0,0,0,0,0,month-to-month,0,electronic check,24.75,66.95,0.82
2592-ykdif,No,female,0,0,0,1,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,20.35,20.35,0.68
2595-kiwpv,No,male,0,0,1,27,1,0,no,0,0,0,0,0,0,two year,0,credit card automatic,19.7,509.3,0.66
2599-cipqe,No,male,0,1,1,71,1,0,fiber optic,1,1,1,1,1,1,two year,0,credit card automatic,109.3,7782.85,3.64
2599-czabp,No,male,0,1,0,14,1,0,dsl,0,0,0,0,0,0,one year,0,electronic check,44.6,641.25,1.49
2599-gtqwq,No,male,1,0,0,39,1,1,fiber optic,0,0,0,0,1,1,month-to-month,1,bank transfer automatic,95.65,3759.05,3.19
2603-hvkcg,No,male,0,0,0,31,1,0,fiber optic,0,1,1,0,1,1,month-to-month,1,electronic check,101.4,3143.65,3.38
2604-ijpdu,No,female,0,1,0,20,1,0,fiber optic,1,1,0,1,1,0,month-to-month,1,electronic check,96.55,1901.65,3.22
2604-xvdam,No,female,0,0,0,12,1,0,dsl,0,0,0,0,0,0,month-to-month,0,bank transfer automatic,43.8,540.95,1.46
2606-pkwjb,No,male,0,0,1,40,0,0,dsl,1,1,0,1,0,0,one year,0,mailed check,40.25,1564.05,1.34
2606-rmdhz,Sí,male,0,0,0,6,0,0,dsl,0,1,0,0,0,0,month-to-month,1,credit card automatic,30.5,208.7,1.02
2607-dhdak,No,male,0,1,1,72,1,0,no,0,0,0,0,0,0,two year,1,credit card automatic,19.8,1414.65,0.66
2607-fbdff,No,male,0,0,0,1,1,0,dsl,0,0,0,1,0,0,month-to-month,0,credit card automatic,49.0,49.0,1.63
2608-bhkfn,Sí,female,0,0,0,4,1,0,fiber optic,0,0,0,0,0,0,month-to-month,1,credit card automatic,70.05,266.9,2.34
2609-iaicy,Sí,female,0,0,0,1,1,1,fiber optic,0,0,0,0,0,0,month-to-month,1,electronic check,77.15,77.15,2.57
2612-phgox,No,male,0,1,0,64,1,1,dsl,0,1,1,1,1,0,two year,1,bank transfer automatic,76.1,4818.8,2.54
2612-ranwt,Sí,female,0,0,0,12,1,1,fiber optic,0,0,1,0,1,1,month-to-month,1,bank transfer automatic,100.15,1164.3,3.34
2612-rridn,Sí,male,0,0,0,4,1,0,fiber optic,0,0,0,0,1,0,month-to-month,1,electronic check,81.0,340.85,2.7
2615-yvmyx,No,male,1,1,0,71,1,1,fiber optic,1,1,1,0,1,1,month-to-month,1,electronic check,107.5,7713.55,3.58
2616-flvqc,No,male,0,0,0,64,1,0,no,0,0,0,0,0,0,two year,0,mailed check,19.55,1240.15,0.65
2616-uutfk,No,male,0,1,0,33,1,1,dsl,1,1,1,0,1,0,month-to-month,1,bank transfer automatic,72.75,2447.45,2.42
2619-wfqwu,Sí,female,0,0,0,1,1,0,fiber optic,0,0,0,0,0,0,month-to-month,1,mailed check,70.15,70.15,2.34
2621-udnlu,No,female,0,1,0,3,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,20.85,72.0,0.7
2623-dryam,No,female,0,1,0,70,1,1,fiber optic,0,0,1,0,1,1,one year,1,electronic check,101.75,7069.3,3.39
2625-trczq,No,female,0,1,0,51,0,0,dsl,0,1,0,0,1,1,month-to-month,1,electronic check,49.65,2553.35,1.66
2626-urjfx,Sí,male,0,1,1,4,1,1,dsl,0,0,0,0,0,0,month-to-month,1,electronic check,50.9,225.6,1.7
2626-veewg,No,male,0,1,1,67,1,0,no,0,0,0,0,0,0,two year,1,credit card automatic,19.4,1284.2,0.65
2632-ivxvf,No,female,0,1,1,68,1,1,fiber optic,1,0,1,1,1,1,two year,0,credit card automatic,111.75,7511.3,3.72
2632-tacxw,No,female,0,1,0,62,1,1,no,0,0,0,0,0,0,two year,0,bank transfer automatic,23.65,1416.75,0.79
2632-ucgvd,Sí,male,1,1,0,66,1,1,fiber optic,0,0,0,1,1,1,month-to-month,1,credit card automatic,100.05,6871.9,3.34
2634-hczgt,Sí,male,1,1,0,53,1,1,dsl,1,0,0,1,0,0,one year,1,electronic check,60.05,3229.65,2.0
2636-alxxz,Sí,female,1,0,0,1,1,0,fiber optic,0,0,0,0,0,0,month-to-month,1,electronic check,69.6,69.6,2.32
2636-ohfmn,Sí,male,0,1,0,4,0,0,dsl,0,1,0,0,1,1,month-to-month,1,electronic check,48.55,201.0,1.62
2636-sjdou,No,male,0,0,0,64,1,1,fiber optic,1,1,0,0,0,0,one year,1,credit card automatic,84.3,5289.05,2.81
2637-fkfsy,No,female,0,1,0,3,1,0,dsl,0,0,0,0,0,0,month-to-month,1,mailed check,46.1,130.15,1.54
2639-ugmaz,No,male,1,0,0,71,0,0,dsl,1,1,0,0,1,1,one year,1,electronic check,56.45,3985.35,1.88
2640-lymov,No,male,0,0,0,2,1,0,no,0,0,0,0,0,0,month-to-month,1,mailed check,19.65,38.8,0.65
2640-pmgfl,Sí,male,0,0,1,27,1,1,fiber optic,0,0,0,1,0,0,month-to-month,1,electronic check,79.5,2180.55,2.65
2642-dtvco,Sí,male,1,0,0,9,1,1,fiber optic,0,0,0,0,0,1,month-to-month,1,electronic check,85.05,746.5,2.84
2642-mawlj,No,female,0,1,1,36,1,0,no,0,0,0,0,0,0,two year,0,bank transfer automatic,20.25,717.95,0.68
2642-nqsnm,No,female,0,0,0,8,1,0,dsl,1,0,0,1,0,0,one year,0,bank transfer automatic,54.25,447.75,1.81
2645-qtlmb,Sí,male,0,0,0,7,1,0,fiber optic,0,1,0,0,1,1,month-to-month,1,electronic check,94.25,669.0,3.14
